RK,TEAM,TOTAL DVOA,LAST WEEK,TOTAL DAVE,RANK,W-L,OFFENSE DVOA,OFF. RANK,DEFENSE DVOA,DEF. RANK,S.T. DVOA,S.T. RANK,WEEK,YEAR,WEIGHTED DVOA,RANK,non-adj VOA,Last Year,ESTIM. WINS,EW RANK,SCHEDULE RANK,RANK,PYTH WINS,RANK,VAR.,RANK
17,WAS,-0.001,13,,,5-7,0.003,17,-0.040,12,-0.044,26,13,2017,-0.036,18,,,,,,,,,,
18,CIN,-0.029,20,,,5-7,-0.019,18,0.007,19,-0.003,18,13,2017,0.006,16,,,,,,,,,,
19,HOU,-0.051,18,,,4-8,-0.035,21,-0.018,14,-0.033,23,13,2017,-0.083,22,,,,,,,,,,
20,TEN,-0.053,22,,,8-4,0.009,16,0.073,21,0.011,14,13,2017,-0.060,21,,,,,,,,,,
21,OAK,-0.054,19,,,6-6,0.108,9,0.173,32,0.012,13,13,2017,-0.046,19,,,,,,,,,,
22,BUF,-0.112,21,,,6-6,-0.162,27,-0.004,17,0.046,7,13,2017,-0.169,24,,,,,,,,,,
23,ARI,-0.119,23,,,5-7,-0.137,25,-0.088,6,-0.069,30,13,2017,-0.059,20,,,,,,,,,,
24,NYJ,-0.154,25,,,5-7,-0.058,22,0.079,22,-0.016,21,13,2017,-0.126,23,,,,,,,,,,
25,TB,-0.159,24,,,4-8,0.013,15,0.135,31,-0.037,24,13,2017,-0.179,25,,,,,,,,,,
26,CHI,-0.204,26,,,3-9,-0.183,28,-0.017,15,-0.038,25,13,2017,-0.205,27,,,,,,,,,,
27,SF,-0.244,29,,,2-10,-0.148,26,0.113,30,0.017,12,13,2017,-0.230,28,,,,,,,,,,
28,NYG,-0.249,28,,,2-10,-0.105,24,0.083,23,-0.061,29,13,2017,-0.251,30,,,,,,,,,,
29,IND,-0.266,30,,,3-9,-0.211,30,0.093,25,0.038,9,13,2017,-0.202,26,,,,,,,,,,
30,CLE,-0.270,31,,,0-12,-0.223,31,-0.008,16,-0.054,28,13,2017,-0.234,29,,,,,,,,,,
31,MIA,-0.273,32,,,5-7,-0.201,29,0.098,27,0.025,11,13,2017,-0.276,31,,,,,,,,,,
32,DEN,-0.274,27,,,3-9,-0.232,32,-0.054,10,-0.096,31,13,2017,-0.338,32,,,,,,,,,,
1,LARM,0.354,1,,,9-4,0.153,5,-0.120,4,0.082,2,14,2017,0.400,1,,,,,,,,,,
2,NO,0.308,3,,,9-4,0.247,2,-0.078,9,-0.017,21,14,2017,0.357,2,,,,,,,,,,
3,PHI,0.299,2,,,11-2,0.158,4,-0.123,3,0.017,12,14,2017,0.339,3,,,,,,,,,,
4,PIT,0.251,4,,,11-2,0.182,3,-0.055,11,0.013,14,14,2017,0.226,6,,,,,,,,,,
5,BAL,0.237,5,,,7-6,-0.058,22,-0.195,1,0.100,1,14,2017,0.247,4,,,,,,,,,,
6,MIN,0.200,6,,,10-3,0.127,7,-0.081,8,-0.008,19,14,2017,0.204,7,,,,,,,,,,
7,NE,0.182,7,,,10-3,0.251,1,0.128,30,0.060,5,14,2017,0.227,5,,,,,,,,,,
8,JAC,0.168,8,,,9-4,0.004,16,-0.192,2,-0.027,23,14,2017,0.196,8,,,,,,,,,,
9,CAR,0.144,10,,,9-4,-0.004,17,-0.108,6,0.040,8,14,2017,0.144,9,,,,,,,,,,
10,KC,0.097,11,,,7-6,0.131,6,0.096,27,0.062,4,14,2017,-0.005,15,,,,,,,,,,
11,SEA,0.081,9,,,8-5,0.061,12,-0.031,13,-0.010,20,14,2017,0.106,12,,,,,,,,,,
12,DAL,0.075,12,,,7-6,0.097,9,0.090,26,0.068,3,14,2017,0.133,10,,,,,,,,,,
13,LACH,0.069,16,,,7-6,0.096,10,-0.057,10,-0.084,31,14,2017,0.126,11,,,,,,,,,,
14,GB,0.046,13,,,7-6,0.034,13,0.006,16,0.017,13,14,2017,0.043,13,,,,,,,,,,
15,DET,0.038,15,,,7-6,0.033,14,0.045,20,0.051,6,14,2017,-0.015,16,,,,,,,,,,
16,ATL,0.028,14,,,8-5,0.100,8,0.065,22,-0.007,18,14,2017,0.018,14,,,,,,,,,,
17,WAS,-0.040,17,,,5-8,-0.026,19,-0.031,12,-0.045,27,14,2017,-0.103,21,,,,,,,,,,
18,OAK,-0.074,21,,,6-7,0.087,11,0.163,32,0.002,17,14,2017,-0.097,20,,,,,,,,,,
19,TEN,-0.078,20,,,8-5,-0.026,18,0.060,21,0.008,15,14,2017,-0.134,22,,,,,,,,,,
20,CIN,-0.096,18,,,5-8,-0.056,21,0.044,19,0.004,16,14,2017,-0.080,18,,,,,,,,,,
21,HOU,-0.097,19,,,4-9,-0.053,20,0.006,18,-0.038,26,14,2017,-0.140,24,,,,,,,,,,
22,ARI,-0.112,23,,,6-7,-0.162,28,-0.119,5,-0.068,30,14,2017,-0.065,17,,,,,,,,,,
23,BUF,-0.120,22,,,7-6,-0.173,29,-0.010,15,0.043,7,14,2017,-0.167,25,,,,,,,,,,
24,CHI,-0.140,26,,,4-9,-0.133,26,-0.028,14,-0.035,25,14,2017,-0.091,19,,,,,,,,,,
25,TB,-0.151,25,,,4-9,0.021,15,0.140,31,-0.032,24,14,2017,-0.181,26,,,,,,,,,,
26,NYJ,-0.184,24,,,5-8,-0.092,23,0.070,23,-0.022,22,14,2017,-0.136,23,,,,,,,,,,
27,SF,-0.209,27,,,3-10,-0.130,25,0.098,28,0.019,11,14,2017,-0.198,27,,,,,,,,,,
28,MIA,-0.210,31,,,6-7,-0.161,27,0.076,25,0.026,9,14,2017,-0.213,29,,,,,,,,,,
29,DEN,-0.237,32,,,4-9,-0.240,32,-0.090,7,-0.087,32,14,2017,-0.320,32,,,,,,,,,,
30,NYG,-0.269,28,,,2-11,-0.110,24,0.099,29,-0.060,29,14,2017,-0.262,31,,,,,,,,,,
31,IND,-0.269,29,,,3-10,-0.222,31,0.072,24,0.025,10,14,2017,-0.208,28,,,,,,,,,,
32,CLE,-0.275,30,,,0-13,-0.213,30,0.006,17,-0.056,28,14,2017,-0.219,30,,,,,,,,,,
1,LARM,0.380,1,,,10-4,0.143,6,-0.144,3,0.093,2,15,2017,0.434,1,,,,,,,,,,
2,NO,0.306,2,,,10-4,0.236,2,-0.080,9,-0.010,19,15,2017,0.327,2,,,,,,,,,,
3,PHI,0.273,3,,,12-2,0.159,4,-0.097,6,0.016,13,15,2017,0.310,3,,,,,,,,,,
4,BAL,0.242,5,,,8-6,-0.051,20,-0.194,2,0.098,1,15,2017,0.307,4,,,,,,,,,,
5,PIT,0.238,4,,,11-3,0.178,3,-0.045,12,0.014,14,15,2017,0.200,9,,,,,,,,,,
6,MIN,0.236,6,,,11-3,0.116,7,-0.118,4,0.001,16,15,2017,0.236,6,,,,,,,,,,
7,JAC,0.208,8,,,10-4,0.024,16,-0.201,1,-0.016,21,15,2017,0.210,7,,,,,,,,,,
8,NE,0.188,7,,,11-3,0.254,1,0.124,30,0.058,4,15,2017,0.251,5,,,,,,,,,,
9,CAR,0.170,9,,,10-4,0.036,14,-0.096,7,0.038,7,15,2017,0.207,8,,,,,,,,,,
10,KC,0.136,10,,,8-6,0.151,5,0.073,22,0.057,5,15,2017,0.025,14,,,,,,,,,,
11,DAL,0.072,12,,,8-6,0.080,10,0.073,23,0.065,3,15,2017,0.100,11,,,,,,,,,,
12,LACH,0.054,13,,,7-7,0.083,9,-0.050,11,-0.079,31,15,2017,0.121,10,,,,,,,,,,
13,DET,0.045,15,,,8-6,0.032,15,0.039,17,0.052,6,15,2017,-0.007,16,,,,,,,,,,
14,GB,0.026,14,,,7-7,0.051,12,0.042,19,0.017,12,15,2017,0.026,13,,,,,,,,,,
15,SEA,0.024,11,,,8-6,0.016,17,-0.036,13,-0.029,23,15,2017,0.046,12,,,,,,,,,,
16,ATL,0.005,16,,,9-5,0.100,8,0.081,25,-0.014,20,15,2017,-0.006,15,,,,,,,,,,
17,WAS,-0.004,17,,,6-8,-0.015,18,-0.052,10,-0.041,27,15,2017,-0.088,19,,,,,,,,,,
18,OAK,-0.055,18,,,6-8,0.078,11,0.129,32,-0.003,17,15,2017,-0.050,17,,,,,,,,,,
19,BUF,-0.083,23,,,8-6,-0.140,26,-0.020,15,0.037,8,15,2017,-0.152,24,,,,,,,,,,
20,TEN,-0.087,19,,,8-6,-0.021,19,0.073,24,0.007,15,15,2017,-0.151,23,,,,,,,,,,
21,TB,-0.123,25,,,4-10,0.037,13,0.126,31,-0.035,24,15,2017,-0.142,22,,,,,,,,,,
22,ARI,-0.135,22,,,6-8,-0.191,29,-0.115,5,-0.059,29,15,2017,-0.068,18,,,,,,,,,,
23,HOU,-0.158,21,,,4-10,-0.075,22,0.043,20,-0.039,26,15,2017,-0.237,31,,,,,,,,,,
24,NYJ,-0.164,26,,,5-9,-0.085,23,0.050,21,-0.028,22,15,2017,-0.117,20,,,,,,,,,,
25,CHI,-0.169,24,,,4-10,-0.159,27,-0.028,14,-0.038,25,15,2017,-0.140,21,,,,,,,,,,
26,CIN,-0.170,20,,,5-9,-0.123,25,0.042,18,-0.005,18,15,2017,-0.154,25,,,,,,,,,,
27,MIA,-0.212,28,,,6-8,-0.162,28,0.084,26,0.033,9,15,2017,-0.199,27,,,,,,,,,,
28,SF,-0.213,27,,,4-10,-0.122,24,0.112,29,0.020,11,15,2017,-0.190,26,,,,,,,,,,
29,DEN,-0.216,29,,,5-9,-0.208,30,-0.082,8,-0.089,32,15,2017,-0.291,32,,,,,,,,,,
30,NYG,-0.239,30,,,2-12,-0.071,21,0.097,28,-0.071,30,15,2017,-0.234,29,,,,,,,,,,
31,IND,-0.284,31,,,3-11,-0.216,31,0.097,27,0.028,10,15,2017,-0.220,28,,,,,,,,,,
32,CLE,-0.285,32,,,0-14,-0.217,32,0.022,16,-0.046,28,15,2017,-0.236,30,,,,,,,,,,
1,LARM,0.360,1,,,11-4,0.159,4,-0.131,6,0.070,2,16,2017,0.414,1,,,,,,,,,,
2,NO,0.306,2,,,11-4,0.215,2,-0.093,7,-0.002,17,16,2017,0.339,2,,,,,,,,,,
3,PIT,0.290,5,,,12-3,0.194,3,-0.073,9,0.023,12,16,2017,0.275,6,,,,,,,,,,
4,PHI,0.260,3,,,13-2,0.117,6,-0.134,5,0.008,15,16,2017,0.300,3,,,,,,,,,,
5,MIN,0.257,6,,,12-3,0.112,7,-0.145,3,0.000,16,16,2017,0.289,5,,,,,,,,,,
6,NE,0.221,8,,,12-3,0.280,1,0.120,32,0.060,3,16,2017,0.299,4,,,,,,,,,,
7,BAL,0.208,4,,,9-6,-0.042,20,-0.167,1,0.083,1,16,2017,0.254,7,,,,,,,,,,
8,CAR,0.171,9,,,11-4,0.031,15,-0.090,8,0.051,6,16,2017,0.198,8,,,,,,,,,,
9,JAC,0.166,7,,,10-5,0.024,16,-0.158,2,-0.016,20,16,2017,0.192,9,,,,,,,,,,
10,KC,0.113,10,,,9-6,0.157,5,0.101,29,0.057,4,16,2017,0.002,15,,,,,,,,,,
11,LACH,0.053,12,,,8-7,0.079,9,-0.050,12,-0.076,31,16,2017,0.121,10,,,,,,,,,,
12,DAL,0.044,11,,,8-7,0.057,10,0.067,22,0.054,5,16,2017,0.070,11,,,,,,,,,,
13,WAS,0.024,17,,,7-8,0.010,17,-0.045,13,-0.031,24,16,2017,-0.052,17,,,,,,,,,,
14,SEA,0.024,15,,,9-6,-0.002,18,-0.052,11,-0.027,22,16,2017,0.029,12,,,,,,,,,,
15,GB,0.023,14,,,7-8,0.037,12,0.032,17,0.019,13,16,2017,0.004,14,,,,,,,,,,
16,DET,0.021,13,,,8-7,0.033,13,0.063,21,0.051,7,16,2017,-0.052,18,,,,,,,,,,
17,ATL,0.002,16,,,9-6,0.091,8,0.072,23,-0.016,21,16,2017,0.007,13,,,,,,,,,,
18,OAK,-0.057,18,,,6-9,0.032,14,0.086,26,-0.003,18,16,2017,-0.048,16,,,,,,,,,,
19,TEN,-0.080,20,,,8-7,-0.011,19,0.083,25,0.014,14,16,2017,-0.112,22,,,,,,,,,,
20,BUF,-0.109,19,,,8-7,-0.135,26,0.008,15,0.034,8,16,2017,-0.207,28,,,,,,,,,,
21,ARI,-0.120,22,,,7-8,-0.202,30,-0.136,4,-0.054,29,16,2017,-0.058,19,,,,,,,,,,
22,TB,-0.130,21,,,4-11,0.037,11,0.119,31,-0.049,28,16,2017,-0.167,26,,,,,,,,,,
23,SF,-0.151,28,,,5-10,-0.064,21,0.115,30,0.028,10,16,2017,-0.098,21,,,,,,,,,,
24,CIN,-0.152,26,,,6-9,-0.103,24,0.042,18,-0.007,19,16,2017,-0.157,24,,,,,,,,,,
25,CHI,-0.153,25,,,5-10,-0.145,27,-0.028,14,-0.035,25,16,2017,-0.091,20,,,,,,,,,,
26,NYJ,-0.168,24,,,5-10,-0.090,23,0.052,19,-0.027,23,16,2017,-0.134,23,,,,,,,,,,
27,HOU,-0.199,23,,,4-11,-0.103,25,0.052,20,-0.043,26,16,2017,-0.349,32,,,,,,,,,,
28,MIA,-0.200,27,,,6-9,-0.148,28,0.080,24,0.028,11,16,2017,-0.169,27,,,,,,,,,,
29,DEN,-0.227,29,,,5-10,-0.204,31,-0.059,10,-0.082,32,16,2017,-0.339,31,,,,,,,,,,
30,NYG,-0.248,30,,,2-13,-0.084,22,0.092,28,-0.071,30,16,2017,-0.229,30,,,,,,,,,,
31,IND,-0.252,31,,,3-12,-0.191,29,0.091,27,0.030,9,16,2017,-0.158,25,,,,,,,,,,
32,CLE,-0.289,32,,,0-15,-0.216,32,0.030,16,-0.043,27,16,2017,-0.210,29,,,,,,,,,,
1,NO,0.350,,,,11-5,0.224,2,-0.114,6,0.012,15,17,2017,0.373,1,0.306,16,14.1,1,0.014,12,11.1,6,0.064,3
2,MIN,0.287,,,,13-3,0.125,5,-0.172,1,-0.009,18,17,2017,0.323,2,0.278,18,12.3,2,0.026,8,11.7,4,0.070,4
3,LAR,0.276,,,,11-5,0.113,6,-0.095,7,0.068,2,17,2017,0.272,4,0.263,30,11.3,3,0.003,16,11.6,5,0.267,32
4,PIT,0.259,,,,13-3,0.175,3,-0.054,9,0.031,9,17,2017,0.249,5,0.284,4,11.2,5,-0.022,22,10.6,7,0.146,20
5,PHI,0.237,,,,13-3,0.105,7,-0.122,5,0.009,16,17,2017,0.234,6,0.260,6,11.3,4,-0.026,24,12,1,0.131,17
6,NE,0.222,,,,13-3,0.279,1,0.120,31,0.063,3,17,2017,0.302,3,0.244,1,10.8,6,-0.043,28,12,2,0.111,15
7,BAL,0.179,,,,9-7,-0.046,21,-0.134,4,0.092,1,17,2017,0.213,7,0.246,12,10.3,7,-0.052,31,10.5,8,0.175,25
8,JAX,0.138,,,,10-6,0.004,15,-0.159,2,-0.025,24,17,2017,0.128,11,0.212,27,9,12,-0.060,32,11.9,3,0.243,31
9,CAR,0.126,,,,11-5,-0.001,17,-0.080,8,0.047,6,17,2017,0.134,9,0.117,24,10.3,8,0.035,7,9,12,0.089,6
10,KC,0.109,,,,10-6,0.164,4,0.108,29,0.053,4,17,2017,0.020,16,0.135,5,10,9,-0.040,27,10,10,0.157,21
11,DAL,0.093,,,,9-7,0.066,10,0.019,16,0.046,7,17,2017,0.130,10,0.085,2,9.4,10,-0.005,17,8.6,15,0.202,28
12,DET,0.090,,,,9-7,0.041,12,0.001,15,0.049,5,17,2017,0.043,13,0.088,26,8.9,13,0.014,11,8.9,14,0.077,5
13,LAC,0.068,,,,9-7,0.103,8,-0.039,10,-0.075,31,17,2017,0.152,8,0.153,21,8.2,14,-0.049,30,10.5,9,0.096,7
14,ATL,0.050,,,,10-6,0.085,9,0.023,17,-0.012,19,17,2017,0.048,12,0.054,3,9,11,0.043,4,9.1,11,0.056,1
15,SEA,0.023,,,,9-7,0.022,14,-0.021,13,-0.020,20,17,2017,0.032,14,0.045,11,8.2,15,-0.005,18,9,13,0.111,14
16,WAS,-0.026,,,,7-9,-0.038,20,-0.035,12,-0.024,22,17,2017,-0.098,20,-0.087,9,6.9,19,0.050,3,6.8,17,0.175,24
17,GB,-0.045,,,,7-9,0.000,16,0.058,24,0.013,14,17,2017,-0.103,21,-0.096,7,7.6,16,0.059,2,6.2,22,0.106,12
18,TEN,-0.062,,,,9-7,-0.021,18,0.057,23,0.016,13,17,2017,-0.094,19,-0.045,17,7.5,17,-0.046,29,7.4,16,0.167,23
19,ARI,-0.082,,,,8-8,-0.181,29,-0.154,3,-0.055,28,17,2017,-0.023,17,-0.095,13,6,23,0.006,15,6.1,24,0.104,11
20,OAK,-0.086,,,,6-10,0.036,13,0.120,30,-0.002,17,17,2017,-0.093,18,-0.085,10,7.4,18,-0.013,21,6,25,0.100,9
21,SF,-0.094,,,,6-10,-0.030,19,0.091,26,0.027,11,17,2017,0.020,15,-0.113,29,6.6,21,0.007,14,6.6,19,0.199,27
22,BUF,-0.107,,,,9-7,-0.111,26,0.025,18,0.029,10,17,2017,-0.172,27,-0.095,19,6.8,20,-0.030,26,6.3,20,0.164,22
23,TB,-0.124,,,,5-11,0.052,11,0.120,32,-0.055,29,17,2017,-0.141,24,-0.162,22,6,24,0.037,5,6.7,18,0.064,2
24,CIN,-0.143,,,,7-9,-0.069,22,0.050,21,-0.024,21,17,2017,-0.117,22,-0.136,14,6.5,22,-0.013,20,6.2,21,0.192,26
25,CHI,-0.170,,,,5-11,-0.150,28,-0.004,14,-0.024,23,17,2017,-0.118,23,-0.201,25,5.7,25,0.076,1,6.2,23,0.144,19
26,HOU,-0.180,,,,4-12,-0.101,24,0.034,19,-0.045,26,17,2017,-0.315,32,-0.195,28,5.4,27,0.009,13,5.5,27,0.241,30
27,NYJ,-0.192,,,,5-11,-0.107,25,0.056,22,-0.030,25,17,2017,-0.151,25,-0.192,32,4.9,29,-0.005,19,5.6,26,0.103,10
28,MIA,-0.217,,,,6-10,-0.136,27,0.107,28,0.026,12,17,2017,-0.177,28,-0.200,20,5.4,28,0.015,10,4.9,29,0.136,18
29,DEN,-0.224,,,,5-11,-0.187,31,-0.038,11,-0.074,30,17,2017,-0.301,31,-0.173,15,5.5,26,-0.027,25,5.4,28,0.205,29
30,IND,-0.239,,,,4-12,-0.183,30,0.093,27,0.037,8,17,2017,-0.152,26,-0.229,23,4.2,30,-0.025,23,4.2,30,0.100,8
31,NYG,-0.245,,,,3-13,-0.094,23,0.076,25,-0.075,32,17,2017,-0.217,29,-0.266,8,4.1,31,0.035,6,4,31,0.117,16
32,CLE,-0.287,,,,0-16,-0.201,32,0.034,20,-0.051,27,17,2017,-0.218,30,-0.343,31,3.1,32,0.018,9,3.3,32,0.106,13
1,NYJ,0.901,,-0.0130,17,1-0,0.159,8,-0.403,4,0.339,2,1,2018,,,,,,,,,,,,
2,BAL,0.799,,0.1160,7,1-0,0.216,6,-0.659,1,-0.076,23,1,2018,,,,,,,,,,,,
3,LAR,0.549,,0.1760,2,1-0,0.529,2,-0.036,17,-0.016,18,1,2018,,,,,,,,,,,,
4,PHI,0.469,,0.1470,4,1-0,0.050,14,-0.419,2,-0.001,14,1,2018,,,,,,,,,,,,
5,MIN,0.433,,0.1460,5,1-0,0.001,16,-0.406,3,0.026,9,1,2018,,,,,,,,,,,,
6,KC,0.372,,0.0150,10,1-0,0.434,5,0.445,30,0.382,1,1,2018,,,,,,,,,,,,
7,DEN,0.364,,-0.0340,20,1-0,0.159,7,-0.212,7,-0.008,15,1,2018,,,,,,,,,,,,
8,CIN,0.281,,0.0030,15,1-0,0.150,9,-0.087,12,0.043,8,1,2018,,,,,,,,,,,,
9,MIA,0.242,,-0.0410,23,1-0,0.067,13,-0.305,5,-0.130,28,1,2018,,,,,,,,,,,,
10,CAR,0.237,,0.0070,12,1-0,0.129,10,-0.061,15,0.047,7,1,2018,,,,,,,,,,,,
11,JAX,0.140,,-0.0360,22,1-0,-0.027,18,-0.144,9,0.023,10,1,2018,,,,,,,,,,,,
12,PIT,0.124,,0.1810,1,0-0-1,-0.090,23,-0.234,6,-0.020,19,1,2018,,,,,,,,,,,,
13,CHI,0.104,,-0.0910,28,0-1,-0.035,19,-0.074,13,0.064,6,1,2018,,,,,,,,,,,,
14,NE,0.082,,0.1700,3,1-0,0.097,11,-0.060,16,-0.075,23,1,2018,,,,,,,,,,,,
15,WAS,0.077,,0.0090,11,1-0,0.081,12,-0.117,10,-0.122,27,1,2018,,,,,,,,,,,,
16,GB,0.069,,0.1000,8,1-0,-0.022,17,-0.103,11,-0.013,16,1,2018,,,,,,,,,,,,
17,HOU,-0.009,,0.0070,13,0-1,-0.129,24,0.030,19,0.150,3,1,2018,,,,,,,,,,,,
18,NO,-0.096,,0.1320,6,0-1,0.490,4,0.553,31,-0.032,20,1,2018,,,,,,,,,,,,
19,NYG,-0.103,,-0.1410,31,0-1,-0.073,22,-0.018,18,-0.048,22,1,2018,,,,,,,,,,,,
20,TEN,-0.156,,-0.0180,18,0-1,-0.239,25,0.043,20,0.125,4,1,2018,,,,,,,,,,,,
21,TB,-0.160,,-0.0680,25,1-0,0.511,3,0.590,32,-0.081,25,1,2018,,,,,,,,,,,,
22,LAC,-0.166,,-0.0290,19,0-1,0.578,1,0.321,27,-0.423,31,1,2018,,,,,,,,,,,,
23,IND,-0.186,,-0.0340,21,0-1,-0.041,21,0.108,24,-0.038,21,1,2018,,,,,,,,,,,,
24,DAL,-0.218,,0.0460,9,0-1,0.011,15,0.073,22,-0.155,29,1,2018,,,,,,,,,,,,
25,CLE,-0.255,,-0.0540,24,0-0-1,-0.249,26,-0.160,8,-0.166,30,1,2018,,,,,,,,,,,,
26,SEA,-0.315,,-0.0050,16,0-1,-0.254,27,0.076,23,0.016,12,1,2018,,,,,,,,,,,,
27,ATL,-0.356,,0.0030,14,0-1,-0.439,29,-0.065,14,0.019,11,1,2018,,,,,,,,,,,,
28,ARI,-0.384,,-0.0840,26,0-1,-0.333,28,0.160,25,0.109,5,1,2018,,,,,,,,,,,,
29,OAK,-0.433,,-0.0850,27,0-1,-0.039,20,0.403,29,0.009,13,1,2018,,,,,,,,,,,,
30,SF,-0.569,,-0.1010,29,0-1,-0.480,30,0.073,21,-0.016,17,1,2018,,,,,,,,,,,,
31,DET,-1.234,,-0.1410,30,0-1,-0.539,31,0.235,26,-0.459,32,1,2018,,,,,,,,,,,,
32,BUF,-1.306,,-0.3400,32,0-1,-0.852,32,0.340,28,-0.114,26,1,2018,,,,,,,,,,,,
1,LAR,0.598,3,0.2270,1,2-0,0.254,4,-0.259,3,0.084,3,2,2018,,,,,,,,,,,,
2,KC,0.497,6,0.0800,7,2-0,0.594,1,0.317,32,0.220,1,2,2018,,,,,,,,,,,,
3,MIA,0.422,9,0.0270,13,2-0,0.006,18,-0.408,1,0.008,11,2,2018,,,,,,,,,,,,
4,CIN,0.307,8,0.0390,11,2-0,0.182,5,-0.086,12,0.039,8,2,2018,,,,,,,,,,,,
5,JAX,0.243,11,0.0040,16,2-0,0.122,9,-0.095,11,0.025,9,2,2018,,,,,,,,,,,,
6,BAL,0.224,2,0.0770,8,1-1,0.053,16,-0.206,5,-0.035,18,2,2018,,,,,,,,,,,,
7,CHI,0.197,13,-0.0500,23,1-1,-0.073,21,-0.213,4,0.058,5,2,2018,,,,,,,,,,,,
8,MIN,0.187,5,0.1290,4,1-0-1,0.159,6,-0.167,7,-0.139,29,2,2018,,,,,,,,,,,,
9,NYJ,0.180,1,-0.0560,25,1-1,-0.231,27,-0.268,2,0.143,2,2,2018,,,,,,,,,,,,
10,LAC,0.175,22,0.0240,14,1-1,0.367,3,0.038,17,-0.154,30,2,2018,,,,,,,,,,,,
11,HOU,0.156,17,0.0380,12,0-2,0.009,17,-0.104,10,0.043,7,2,2018,,,,,,,,,,,,
12,PHI,0.154,4,0.1190,6,1-1,0.074,13,-0.152,9,-0.072,25,2,2018,,,,,,,,,,,,
13,CAR,0.072,10,-0.0010,17,1-1,0.133,8,0.112,24,0.052,6,2,2018,,,,,,,,,,,,
14,DEN,0.064,7,-0.0490,22,2-0,0.070,14,-0.005,16,-0.011,14,2,2018,,,,,,,,,,,,
15,DAL,0.064,24,0.0730,9,1-1,0.091,11,-0.070,13,-0.097,27,2,2018,,,,,,,,,,,,
16,TB,0.043,21,-0.0380,21,2-0,0.393,2,0.286,31,-0.064,22,2,2018,,,,,,,,,,,,
17,WAS,0.035,15,0.0080,15,1-1,-0.050,20,-0.155,8,-0.070,24,2,2018,,,,,,,,,,,,
18,NO,0.014,18,0.1290,5,1-1,0.157,7,0.099,21,-0.044,20,2,2018,,,,,,,,,,,,
19,NE,-0.065,14,0.1310,3,1-1,0.060,15,0.058,19,-0.067,23,2,2018,,,,,,,,,,,,
20,OAK,-0.086,29,-0.0540,24,0-2,0.089,12,0.150,27,-0.025,16,2,2018,,,,,,,,,,,,
21,PIT,-0.091,12,0.1320,2,2000-1-1,0.107,10,0.116,25,-0.083,26,2,2018,,,,,,,,,,,,
22,IND,-0.098,23,-0.0330,20,1-1,-0.106,22,-0.024,15,-0.016,15,2,2018,,,,,,,,,,,,
23,GB,-0.120,16,0.0580,10,1-0-1,-0.023,19,0.069,20,-0.027,17,2,2018,,,,,,,,,,,,
24,ATL,-0.205,27,-0.0060,18,1-1,-0.108,23,0.107,23,0.010,10,2,2018,,,,,,,,,,,,
25,SEA,-0.235,26,-0.0230,19,0-2,-0.278,29,-0.045,14,-0.002,12,2,2018,,,,,,,,,,,,
26,SF,-0.285,30,-0.0960,28,1-1,-0.201,25,0.046,18,-0.038,19,2,2018,,,,,,,,,,,,
27,NYG,-0.307,19,-0.1780,30,0-2,-0.194,24,0.102,22,-0.011,13,2,2018,,,,,,,,,,,,
28,TEN,-0.320,20,-0.0660,26,1-1,-0.238,28,0.159,28,0.078,4,2,2018,,,,,,,,,,,,
29,CLE,-0.343,25,-0.0940,27,2000-1-1,-0.306,30,-0.168,6,-0.205,31,2,2018,,,,,,,,,,,,
30,DET,-0.631,31,-0.1420,29,0-2,-0.214,26,0.204,29,-0.213,32,2,2018,,,,,,,,,,,,
31,ARI,-0.706,28,-0.1820,31,0-2,-0.531,31,0.123,26,-0.052,21,2,2018,,,,,,,,,,,,
32,BUF,-0.940,32,-0.3750,32,0-2,-0.565,32,0.274,30,-0.101,28,2,2018,,,,,,,,,,,,
1,LAR,0.492,1,0.2630,1,3-0,0.327,2,-0.146,8,0.019,11,3,2018,,,,,,,,,,,,
2,MIA,0.430,3,0.1070,5,3-0,0.172,8,-0.222,3,0.036,7,3,2018,,,,,,,,,,,,
3,KC,0.416,2,0.1330,2,3-0,0.506,1,0.271,32,0.181,1,3,2018,,,,,,,,,,,,
4,CIN,0.232,4,0.0670,10,2-1,0.173,7,-0.028,15,0.032,10,3,2018,,,,,,,,,,,,
5,BAL,0.207,6,0.1020,6,2-1,0.037,13,-0.208,5,-0.038,22,3,2018,,,,,,,,,,,,
6,JAX,0.179,5,0.0300,16,2-1,0.004,17,-0.141,9,0.034,8,3,2018,,,,,,,,,,,,
7,NYJ,0.135,9,-0.0230,20,1-2,-0.273,29,-0.276,2,0.132,2,3,2018,,,,,,,,,,,,
8,CAR,0.135,13,0.0390,13,2-1,0.179,6,0.096,23,0.052,5,3,2018,,,,,,,,,,,,
9,WAS,0.129,17,0.0500,11,2-1,0.084,10,-0.084,11,-0.040,24,3,2018,,,,,,,,,,,,
10,CHI,0.114,7,-0.0290,21,2-1,-0.196,27,-0.278,1,0.032,9,3,2018,,,,,,,,,,,,
11,HOU,0.085,11,0.0390,12,0-3,0.004,16,0.002,17,0.083,3,3,2018,,,,,,,,,,,,
12,NO,0.063,18,0.1280,3,2-1,0.235,4,0.170,28,-0.002,16,3,2018,,,,,,,,,,,,
13,PHI,0.027,12,0.0850,7,2-1,-0.031,19,-0.146,7,-0.089,29,3,2018,,,,,,,,,,,,
